Tail_Number, Model, Manufacturer, Engine_Type, Aircraft_Type, Production_Year, Issue_Date, Status, Ownership
N7260A,172R,CESSNA,Unknown,Fixed Wing Single-Engine,2000,2006-03-16,V,C
N7443A,Unknown,Unknown,Unknown,Unknown,,,U,U
N7257A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2016-12-22,V,I
N7288A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,1996-10-30,V,I
N342A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N347A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N341A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N954A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7457A,172,CESSNA,Unknown,Fixed Wing Single-Engine,,2018-09-19,V,I
N7460A,Unknown,Unknown,Unknown,Unknown,,,U,U
N7261A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2015-01-21,V,I
N7448A,Unknown,Unknown,Unknown,Unknown,,,U,U
N7264A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2015-07-10,V,C
N7290A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2014-05-07,V,I
N7461A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2017-01-25,V,L
N7281A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2004-09-17,V,I
N7467A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2013-11-21,I,I
N7258A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2011-04-21,V,I
N7253A,Unknown,Unknown,Unknown,Unknown,,,U,U
N7267A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2017-03-24,V,L
N7251A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2000-01-12,V,I
N7268A,Unknown,Unknown,Unknown,Unknown,,,U,U
N349A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N939A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N943A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N344A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N346A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N326A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N904A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N331A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N310A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N951A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N941A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N318A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N343A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N350A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N907A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N311A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N309A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N949A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N955A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N937A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N952A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N953A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N944A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N903A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N945A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N905A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N906A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N946A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N938A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N935A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N314A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N957A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N348A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N976A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N984A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N981A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N987A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N989A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N983A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N980A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N991A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N986A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N992A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N974A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N985A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N997A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N990A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N982A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N995A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N988A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7282A,R44 II,ROBINSON HELICOPTER COMPANY,Unknown,Rotorcraft,2006,2006-07-12,V,L
N7451A,Unknown,Unknown,Unknown,Unknown,,,U,U
N7295A,Unknown,Unknown,Unknown,Unknown,,,U,U
N7254A,172,CESSNA,Unknown,Fixed Wing Single-Engine,,2019-05-22,V,I
N7263A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2001-12-21,V,P
N7287A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2009-02-05,V,I
N7286A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2004-03-16,V,I
N7269A,Unknown,Unknown,Unknown,Unknown,,,U,U
N940A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N902A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N950A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N909A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N337A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7275A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2019-09-25,V,P
N7276A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1956,2016-05-18,V,I
N7450A,Unknown,Unknown,Unknown,Unknown,,,U,U
N209A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N787A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N926A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N773A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N345A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N333A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N996A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N979A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N998A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N994A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N978A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7459A,Unknown,Unknown,Unknown,Unknown,,,U,U
N977A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7449A,Unknown,Unknown,Unknown,Unknown,,,U,U
N947A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N921A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N993A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7277A,172,CESSNA,Unknown,Fixed Wing Single-Engine,1952,2019-12-03,V,I
N179A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N105A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N116A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N122A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N182A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N199A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N195A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N183A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N191A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N118A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N192A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N108A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N117A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N908A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N925A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N932A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N918A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N931A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N915A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N928A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N917A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N934A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N920A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N929A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N930A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N919A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N916A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N933A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N911A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N923A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N910A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N927A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N913A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N914A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N922A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N912A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N924A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N605AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,2019-03-12,V,C
N608AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N602AA,AT-602,AIR TRACTOR INC,Unknown,Fixed Wing Single-Engine,2010,2011-01-28,V,C
N671AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1992,2019-10-02,V,L
N670AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1992,2016-03-11,V,C
N777AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N781AA,95-55,BEECH,Unknown,Fixed Wing Multi-Engine,1961,1998-06-23,V,C
N606AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1996,2018-07-02,V,L
N600AA,PA-28-140,PIPER,Unknown,Fixed Wing Single-Engine,1968,2016-08-04,V,I
N337AA,U206G,CESSNA,Unknown,Fixed Wing Single-Engine,1977,1994-06-30,V,C
N648AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N603AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,2019-03-12,V,C
N645AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N646AA,Unknown,Unknown,Unknown,Unknown,,,U,U
-N918A,Unknown,Unknown,Unknown,Unknown,,,U,U
N300AA,45,LEARJET INC,Unknown,Fixed Wing Multi-Engine,,2013-12-02,V,C
-N991A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N928A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N936A,Unknown,Unknown,Unknown,Unknown,,,U,U
N811AA,FAN JET FALCON SER D,DASSAULT/SUD,Unknown,Fixed Wing Multi-Engine,1968,1997-02-26,V,C
N800AA,AEROSTAR 601P,SMITH,Unknown,Fixed Wing Multi-Engine,1976,2014-07-01,V,L
-N934A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N966A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N965A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N920A,Unknown,Unknown,Unknown,Unknown,,,U,U
N341AA,A75N1,BOEING,Unknown,Fixed Wing Single-Engine,1941,1994-01-11,V,I
-N970A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N912A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N927A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N919A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N913A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N923A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N922A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N967A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N958A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N925A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N924A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N955A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N959A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N926A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N937A,Unknown,Unknown,Unknown,Unknown,,,U,U
N340AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N676AA,415-C,ERCOUPE,Unknown,Fixed Wing Single-Engine,,2016-05-24,V,I
N256AA,PA-44-180,PIPER AIRCRAFT INC,Unknown,Fixed Wing Multi-Engine,2019,2019-12-04,V,C
N243AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N260AA,V35,BEECH,Unknown,Fixed Wing Single-Engine,1966,2016-10-03,V,I
N264AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N247AA,K35,BEECH,Unknown,Fixed Wing Single-Engine,1959,2019-06-11,V,P
N268AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N263AA,J35,BEECH,Unknown,Fixed Wing Single-Engine,1958,2000-03-27,V,C
N265AA,95,BEECH,Unknown,Fixed Wing Multi-Engine,1958,2018-08-15,V,P
N252AA,35-A33,BEECH,Unknown,Fixed Wing Single-Engine,1961,2018-03-21,V,I
N257AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N261AA,K35,BEECH,Unknown,Fixed Wing Single-Engine,1959,2010-04-21,V,I
N267AA,PA-44-180,PIPER AIRCRAFT INC,Unknown,Fixed Wing Multi-Engine,2019,2019-12-09,V,C
N254AA,K35,BEECH,Unknown,Fixed Wing Single-Engine,1959,1996-11-19,V,I
N690AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N685AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N736AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N94AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N91AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N87AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N73AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N95AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N74AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N687AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1993,2018-03-02,V,C
N80AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N92AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N96AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N62AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N64AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N81AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N682AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1992,2018-04-19,V,L
N686AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1992,2016-02-16,V,C
N644AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N67AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N693AA,757-223,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,2019-10-01,V,L
N697AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N689AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N310AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N63AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N85AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N83AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N68AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N86AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N60AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N683AA,M20K,MOONEY AIRCRAFT CORP.,Unknown,Fixed Wing Single-Engine,1979,2005-01-05,V,I
N331AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N699AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N695AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N82AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N684AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N696AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N333AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N761AA,S-76C,SIKORSKY,Unknown,Rotorcraft,,2019-06-04,V,C
N735AA,182Q,CESSNA,Unknown,Fixed Wing Single-Engine,1976,2019-10-08,V,I
N694AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N71AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N739AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N759AA,182Q,CESSNA,Unknown,Fixed Wing Single-Engine,1977,2002-05-09,V,C
N734AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N698AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N688AA,Unknown,Unknown,Unknown,Unknown,,,U,U
N93AAA,Unknown,Unknown,Unknown,Unknown,,,U,U
N3CKA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3CLA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N066A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BFA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BGA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N073A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N067A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7ADA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N804D5,Unknown,Unknown,Unknown,Unknown,,,U,U
M67153,Unknown,Unknown,Unknown,Unknown,,,U,U
N827M8,Unknown,Unknown,Unknown,Unknown,,,U,U
N37423,Unknown,Unknown,Unknown,Unknown,,,U,U
-N385D,Unknown,Unknown,Unknown,Unknown,,,U,U
-N735M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N736M,Unknown,Unknown,Unknown,Unknown,,,U,U
N322N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N94204,Unknown,Unknown,Unknown,Unknown,,,U,U
N835A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N834A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N177A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N190A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N185A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N198A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N193A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N104A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N171A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N197A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N176A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N184A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N174A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N67153,Unknown,Unknown,Unknown,Unknown,,,U,U
N67163,Unknown,Unknown,Unknown,Unknown,,,U,U
N37438,S-1A,INTERSTATE,Unknown,Fixed Wing Single-Engine,1942,2013-12-30,V,I
N801D5,Unknown,Unknown,Unknown,Unknown,,,U,U
-N739M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N738M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N737M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N14AM,Unknown,Unknown,Unknown,Unknown,,,U,U
N323N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N324N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N3CMA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3CNA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BHA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3CPA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3CRA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N065A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N070A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BKA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BJA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N069A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N1ANA1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N740A,Unknown,Unknown,Unknown,Unknown,,,U,U
-N741A,Unknown,Unknown,Unknown,Unknown,,,U,U
N325N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N992EA,Unknown,Unknown,Unknown,Unknown,,,U,U
N24193,Unknown,Unknown,Unknown,Unknown,,,U,U
N24176,Unknown,Unknown,Unknown,Unknown,,,U,U
N837A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N836A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N838A1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N650M,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BMA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BLA1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N742A,Unknown,Unknown,Unknown,Unknown,,,U,U
N3744A,PA-22,PIPER,Unknown,Fixed Wing Single-Engine,1954,1989-11-28,V,I
N843M8,Unknown,Unknown,Unknown,Unknown,,,U,U
N816E1,Unknown,Unknown,Unknown,Unknown,,,U,U
N327N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N326N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N109A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N676A1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N653M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N651M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N654M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N652M,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BNA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N1612A,PA-18-125,PIPER,Unknown,Fixed Wing Single-Engine,,2017-12-26,V,I
N37494,Unknown,Unknown,Unknown,Unknown,,,U,U
N37452,S-1A,INTERSTATE,Unknown,Fixed Wing Single-Engine,1941,2007-03-12,V,L
N3748E,7DC,AERONCA,Unknown,Fixed Wing Single-Engine,1947,2005-02-15,V,I
-N655M,Unknown,Unknown,Unknown,Unknown,,,U,U
N818E1,Unknown,Unknown,Unknown,Unknown,,,U,U
N817E1,Unknown,Unknown,Unknown,Unknown,,,U,U
N328N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N839A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N220A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DAA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N071A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N072A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N074A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N1APA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N1AAA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BPA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N37512,Unknown,Unknown,Unknown,Unknown,,,U,U
N3753A,Unknown,Unknown,Unknown,Unknown,,,U,U
N329N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N330N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N121A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N840A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N37554,Unknown,Unknown,Unknown,Unknown,,,U,U
N3752A,Unknown,Unknown,Unknown,Unknown,,,U,U
N37541,Unknown,Unknown,Unknown,Unknown,,,U,U
N37574,Unknown,Unknown,Unknown,Unknown,,,U,U
N3758E,11AC,AERONCA,Reciprocating,Fixed Wing Single-Engine,1947,1990-04-24,V,I
-N801M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N803M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N802M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N800M,Unknown,Unknown,Unknown,Unknown,,,U,U
N331N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N332N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N24251,Unknown,Unknown,Unknown,Unknown,,,U,U
N841A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N222A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DBA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FAA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DCA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FBA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N16804,Unknown,Unknown,Unknown,Unknown,,,U,U
N7BRA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DEA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DDA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3756A,PA-22-135,PIPER,Unknown,Fixed Wing Single-Engine,1954,2003-07-16,V,I
N842A1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N804M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N806M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N805M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N807M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N242M,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DFA1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N809M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N808M,Unknown,Unknown,Unknown,Unknown,,,U,U
N333N2,Unknown,Unknown,Unknown,Unknown,,,U,U
N24271,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FCA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FDA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DGA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FFA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FEA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DHA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N000A1,Unknown,Unknown,Unknown,Unknown,,,U,U
-N810M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N811M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N812M,Unknown,Unknown,Unknown,Unknown,,,U,U
N845A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FHA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FGA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DJA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DKA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FKA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N3DLA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FJA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N75852,Unknown,Unknown,Unknown,Unknown,,,U,U
-N813M,Unknown,Unknown,Unknown,Unknown,,,U,U
-N814M,Unknown,Unknown,Unknown,Unknown,,,U,U
N677A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N847A1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FLA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N5FMA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4APA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4AAA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4AEA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4AHA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4CKA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4ADA1,Unknown,Unknown,Unknown,Unknown,,,U,U
N4AGA1,Unknown,Unknown,Unknown,Unknown,,,U,U
